_date,total_views,unique_views
2022-11-23,39,10
2022-11-24,11,3
2022-11-25,7,6
2022-11-26,26,3
2022-11-27,10,3
2022-11-28,79,10
2022-11-29,25,12
2022-11-30,17,6
2022-12-01,32,13
2022-12-02,16,8
2022-12-03,2,2
2022-12-04,6,1
2022-12-07,54,9
2022-12-08,41,8
2022-12-09,25,7
2022-12-10,23,4
2022-12-11,10,5
2022-12-12,11,6
2022-12-13,15,4
2022-12-14,66,9
2022-12-15,44,20
2022-12-16,13,5
2022-12-17,6,4
2022-12-18,16,2
2022-12-19,25,8
2022-12-20,33,8
2022-12-21,8,5
2022-12-22,26,7
2022-12-23,15,6
2022-12-24,1,1
2022-12-25,1,1
2022-12-26,3,3
2022-12-27,1,1
2022-12-28,5,4
2022-12-29,3,1
2022-12-30,1,1
2022-12-31,17,6
2023-01-01,15,4
